years_experience,skills_match_score,education_level,project_count,resume_length,github_activity,shortlisted,Candidate Score,Candidate Rank,Fit Level,Prediction
5,94.0,0,9,523,281,Shortlisted,94.0,13.0,High Fit,Shortlisted
9,48.2,0,10,553,314,Rejected,35.5,130.0,Low Fit,Rejected
3,57.8,2,5,388,67,Rejected,5.5,190.0,Low Fit,Rejected
5,77.4,2,7,415,276,Shortlisted,92.5,16.0,High Fit,Shortlisted
12,78.4,1,15,759,442,Shortlisted,100.0,1.0,High Fit,Shortlisted
14,54.7,0,15,702,552,Shortlisted,100.0,1.0,High Fit,Shortlisted
1,51.6,1,3,449,150,Rejected,0.0,201.0,,Rejected
9,100.0,0,16,395,419,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,87.0,2,14,696,276,Shortlisted,100.0,1.0,High Fit,Shortlisted
1,72.3,2,8,369,276,Rejected,15.5,170.0,Low Fit,Rejected
9,69.6,2,16,671,465,Shortlisted,100.0,1.0,High Fit,Shortlisted
13,82.6,1,12,656,380,Shortlisted,100.0,1.0,High Fit,Shortlisted
3,63.3,0,6,422,156,Rejected,4.0,193.0,Low Fit,Rejected
13,100.0,2,13,898,384,Shortlisted,99.5,2.0,High Fit,Shortlisted
14,100.0,0,12,709,358,Shortlisted,100.0,1.0,High Fit,Shortlisted
15,97.4,2,14,900,587,Shortlisted,100.0,1.0,High Fit,Shortlisted
14,90.3,2,11,900,413,Shortlisted,100.0,1.0,High Fit,Shortlisted
7,53.8,3,14,746,437,Shortlisted,95.0,11.0,High Fit,Shortlisted
13,53.3,1,12,718,392,Shortlisted,100.0,1.0,High Fit,Shortlisted
6,70.7,0,11,537,398,Shortlisted,97.5,6.0,High Fit,Shortlisted
11,96.4,2,7,599,295,Shortlisted,100.0,1.0,High Fit,Shortlisted
8,97.2,2,4,480,213,Shortlisted,98.0,5.0,High Fit,Shortlisted
13,73.9,2,20,826,508,Shortlisted,99.5,2.0,High Fit,Shortlisted
7,44.4,1,8,594,371,Rejected,23.5,154.0,Low Fit,Rejected
4,83.2,2,6,531,107,Shortlisted,87.5,26.0,High Fit,Shortlisted
15,79.0,2,17,620,555,Shortlisted,100.0,1.0,High Fit,Shortlisted
12,53.3,1,13,577,325,Shortlisted,99.0,3.0,High Fit,Shortlisted
1,52.1,0,2,365,49,Rejected,0.0,201.0,,Rejected
14,81.6,2,16,772,625,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,85.3,0,13,302,286,Shortlisted,96.5,8.0,High Fit,Shortlisted
7,84.5,0,9,480,273,Shortlisted,92.5,16.0,High Fit,Shortlisted
9,68.2,2,10,826,365,Rejected,28.0,145.0,Low Fit,Rejected
8,94.5,0,12,608,494,Shortlisted,98.5,4.0,High Fit,Shortlisted
11,85.1,2,18,722,500,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,95.4,0,10,807,434,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,99.4,0,8,648,417,Shortlisted,100.0,1.0,High Fit,Shortlisted
12,85.1,3,11,688,381,Shortlisted,100.0,1.0,High Fit,Shortlisted
8,89.6,3,9,236,354,Shortlisted,91.0,19.0,High Fit,Shortlisted
12,70.9,1,12,767,271,Shortlisted,99.5,2.0,High Fit,Shortlisted
14,100.0,2,18,739,571,Shortlisted,100.0,1.0,High Fit,Shortlisted
12,82.9,0,15,842,482,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,67.4,1,6,415,170,Rejected,0.5,200.0,Low Fit,Rejected
8,96.4,0,10,444,335,Shortlisted,99.5,2.0,High Fit,Shortlisted
6,77.7,0,3,648,139,Rejected,66.0,69.0,Medium Fit,Shortlisted
8,75.8,2,9,743,384,Shortlisted,99.5,2.0,High Fit,Shortlisted
7,74.1,2,12,590,365,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,20.6,3,6,169,157,Rejected,1.0,199.0,Low Fit,Rejected
11,72.6,2,9,625,369,Shortlisted,99.0,3.0,High Fit,Shortlisted
7,85.5,0,15,515,527,Shortlisted,99.0,3.0,High Fit,Shortlisted
7,89.8,2,13,719,275,Shortlisted,99.0,3.0,High Fit,Shortlisted
14,82.0,3,20,830,577,Shortlisted,100.0,1.0,High Fit,Shortlisted
10,83.7,2,12,665,381,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,62.4,2,10,439,217,Shortlisted,79.0,43.0,Medium Fit,Shortlisted
0,75.3,3,3,328,155,Rejected,12.0,177.0,Low Fit,Rejected
7,100.0,0,15,507,343,Shortlisted,99.5,2.0,High Fit,Shortlisted
2,75.9,2,11,324,225,Shortlisted,83.0,35.0,High Fit,Shortlisted
2,55.2,2,5,303,190,Rejected,0.0,201.0,,Rejected
0,63.8,3,11,264,168,Rejected,29.0,143.0,Low Fit,Rejected
10,98.5,0,11,670,248,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,44.4,0,7,278,146,Rejected,3.0,195.0,Low Fit,Rejected
9,70.0,2,7,732,210,Shortlisted,91.5,18.0,High Fit,Shortlisted
6,80.1,0,9,503,279,Shortlisted,93.5,14.0,High Fit,Shortlisted
9,98.7,2,13,548,408,Shortlisted,100.0,1.0,High Fit,Shortlisted
8,82.6,0,11,440,349,Shortlisted,99.0,3.0,High Fit,Shortlisted
11,70.4,0,11,807,314,Shortlisted,95.0,11.0,High Fit,Shortlisted
6,77.5,0,12,301,332,Shortlisted,95.0,11.0,High Fit,Shortlisted
8,79.7,0,13,750,425,Shortlisted,99.0,3.0,High Fit,Shortlisted
7,76.8,0,11,441,357,Shortlisted,97.5,6.0,High Fit,Shortlisted
11,78.0,0,13,472,456,Shortlisted,99.5,2.0,High Fit,Shortlisted
1,60.3,0,7,335,106,Rejected,2.5,196.0,Low Fit,Rejected
0,43.9,0,6,415,247,Rejected,0.0,201.0,,Rejected
15,100.0,1,8,808,456,Shortlisted,99.5,2.0,High Fit,Shortlisted
6,71.9,0,7,378,299,Shortlisted,79.0,43.0,Medium Fit,Shortlisted
6,81.5,2,7,498,302,Shortlisted,99.0,3.0,High Fit,Shortlisted
13,84.0,2,20,790,621,Shortlisted,100.0,1.0,High Fit,Shortlisted
7,84.2,0,9,546,327,Shortlisted,96.0,9.0,High Fit,Shortlisted
4,46.0,0,6,308,139,Rejected,3.0,195.0,Low Fit,Rejected
2,39.1,2,13,507,205,Rejected,13.5,174.0,Low Fit,Rejected
11,79.0,0,10,582,343,Shortlisted,100.0,1.0,High Fit,Shortlisted
7,100.0,3,11,326,381,Shortlisted,98.5,4.0,High Fit,Shortlisted
5,89.4,2,10,534,265,Shortlisted,99.0,3.0,High Fit,Shortlisted
10,65.4,0,11,900,361,Shortlisted,89.5,22.0,High Fit,Shortlisted
2,69.2,0,4,378,78,Rejected,4.0,193.0,Low Fit,Rejected
0,48.0,0,4,394,98,Rejected,0.0,201.0,,Rejected
2,63.4,1,3,581,80,Rejected,1.0,199.0,Low Fit,Rejected
4,73.1,0,7,380,143,Rejected,6.0,189.0,Low Fit,Rejected
14,99.4,0,12,792,427,Shortlisted,100.0,1.0,High Fit,Shortlisted
13,63.8,2,13,670,476,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,42.5,0,10,296,221,Rejected,5.0,191.0,Low Fit,Rejected
0,51.9,1,5,150,36,Rejected,0.0,201.0,,Rejected
4,53.8,2,12,553,312,Shortlisted,93.5,14.0,High Fit,Shortlisted
9,58.9,0,14,437,359,Shortlisted,99.0,3.0,High Fit,Shortlisted
6,73.6,0,11,571,311,Shortlisted,97.5,6.0,High Fit,Shortlisted
14,71.8,0,12,783,453,Shortlisted,100.0,1.0,High Fit,Shortlisted
13,100.0,2,12,537,418,Shortlisted,100.0,1.0,High Fit,Shortlisted
6,69.0,3,13,676,268,Shortlisted,100.0,1.0,High Fit,Shortlisted
10,68.9,1,15,447,401,Shortlisted,100.0,1.0,High Fit,Shortlisted
8,78.0,0,10,687,285,Shortlisted,100.0,1.0,High Fit,Shortlisted
14,62.9,0,14,469,528,Shortlisted,100.0,1.0,High Fit,Shortlisted
14,93.1,0,21,755,596,Shortlisted,100.0,1.0,High Fit,Shortlisted
9,80.6,0,12,652,403,Shortlisted,100.0,1.0,High Fit,Shortlisted
9,74.0,2,5,591,216,Shortlisted,89.5,22.0,High Fit,Shortlisted
11,91.1,3,11,879,457,Shortlisted,100.0,1.0,High Fit,Shortlisted
12,87.9,0,15,900,530,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,83.0,0,2,504,219,Rejected,9.5,182.0,Low Fit,Rejected
14,100.0,2,10,900,366,Shortlisted,100.0,1.0,High Fit,Shortlisted
15,71.6,0,19,593,552,Shortlisted,100.0,1.0,High Fit,Shortlisted
6,50.0,0,11,414,371,Shortlisted,91.0,19.0,High Fit,Shortlisted
0,59.0,0,3,390,97,Rejected,0.0,201.0,,Rejected
3,32.3,0,7,334,155,Rejected,8.5,184.0,Low Fit,Rejected
12,91.2,0,9,508,353,Shortlisted,99.0,3.0,High Fit,Shortlisted
15,92.9,2,19,900,671,Shortlisted,100.0,1.0,High Fit,Shortlisted
3,72.8,2,8,426,229,Rejected,52.5,96.0,Low Fit,Shortlisted
13,78.9,0,11,478,449,Shortlisted,99.0,3.0,High Fit,Shortlisted
4,64.8,1,9,579,179,Rejected,13.0,175.0,Low Fit,Rejected
6,84.1,3,9,522,282,Shortlisted,99.0,3.0,High Fit,Shortlisted
6,72.5,0,10,348,239,Shortlisted,89.5,22.0,High Fit,Shortlisted
12,65.1,2,12,723,338,Shortlisted,100.0,1.0,High Fit,Shortlisted
14,83.6,1,8,673,312,Shortlisted,100.0,1.0,High Fit,Shortlisted
10,100.0,0,10,694,269,Shortlisted,99.5,2.0,High Fit,Shortlisted
12,85.1,0,16,684,585,Shortlisted,100.0,1.0,High Fit,Shortlisted
3,69.3,2,9,424,230,Shortlisted,78.5,44.0,Medium Fit,Shortlisted
12,100.0,1,16,776,491,Shortlisted,100.0,1.0,High Fit,Shortlisted
15,76.3,0,23,641,640,Shortlisted,100.0,1.0,High Fit,Shortlisted
6,82.8,0,6,583,225,Shortlisted,89.0,23.0,High Fit,Shortlisted
10,73.3,2,16,729,421,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,85.3,3,11,267,289,Shortlisted,93.0,15.0,High Fit,Shortlisted
5,87.0,3,9,517,217,Shortlisted,98.0,5.0,High Fit,Shortlisted
11,80.8,3,25,757,599,Shortlisted,100.0,1.0,High Fit,Shortlisted
1,51.0,1,7,548,176,Rejected,0.5,200.0,Low Fit,Rejected
9,85.7,1,14,564,270,Shortlisted,99.5,2.0,High Fit,Shortlisted
12,53.7,0,12,669,447,Shortlisted,99.5,2.0,High Fit,Shortlisted
13,76.9,0,18,855,527,Shortlisted,100.0,1.0,High Fit,Shortlisted
8,86.6,2,11,693,260,Shortlisted,99.5,2.0,High Fit,Shortlisted
4,64.6,2,7,410,186,Rejected,18.5,164.0,Low Fit,Rejected
5,69.5,0,6,417,208,Rejected,10.0,181.0,Low Fit,Rejected
11,52.6,2,16,745,476,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,74.2,3,11,710,370,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,89.7,0,9,544,256,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,68.2,0,15,768,538,Shortlisted,100.0,1.0,High Fit,Shortlisted
3,44.0,0,6,230,30,Rejected,2.5,196.0,Low Fit,Rejected
13,99.4,0,10,705,406,Shortlisted,100.0,1.0,High Fit,Shortlisted
13,95.0,2,15,900,529,Shortlisted,100.0,1.0,High Fit,Shortlisted
10,61.2,0,13,463,488,Shortlisted,99.0,3.0,High Fit,Shortlisted
15,85.1,1,19,900,680,Shortlisted,100.0,1.0,High Fit,Shortlisted
9,67.2,3,13,439,462,Shortlisted,99.0,3.0,High Fit,Shortlisted
6,67.2,0,13,532,330,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,82.1,0,9,831,362,Shortlisted,98.5,4.0,High Fit,Shortlisted
8,68.9,3,13,552,422,Shortlisted,100.0,1.0,High Fit,Shortlisted
6,80.6,0,13,652,369,Shortlisted,97.0,7.0,High Fit,Shortlisted
13,97.0,0,11,817,448,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,65.2,2,5,332,89,Rejected,0.0,201.0,,Rejected
0,63.7,0,6,386,179,Rejected,0.5,200.0,Low Fit,Rejected
8,55.5,2,11,557,334,Rejected,33.5,134.0,Low Fit,Rejected
10,97.9,0,13,695,399,Shortlisted,100.0,1.0,High Fit,Shortlisted
13,77.6,1,19,460,461,Shortlisted,100.0,1.0,High Fit,Shortlisted
8,59.5,0,10,595,418,Shortlisted,97.5,6.0,High Fit,Shortlisted
3,65.7,0,8,626,155,Shortlisted,77.5,46.0,Medium Fit,Shortlisted
12,96.4,2,19,758,570,Shortlisted,100.0,1.0,High Fit,Shortlisted
8,84.9,2,12,731,369,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,52.7,3,5,361,141,Rejected,9.5,182.0,Low Fit,Rejected
6,84.6,2,12,655,341,Shortlisted,100.0,1.0,High Fit,Shortlisted
5,66.6,0,7,287,274,Shortlisted,86.5,28.0,High Fit,Shortlisted
7,82.8,2,12,678,359,Shortlisted,100.0,1.0,High Fit,Shortlisted
10,69.2,2,15,528,468,Shortlisted,100.0,1.0,High Fit,Shortlisted
8,92.9,2,16,350,478,Shortlisted,99.0,3.0,High Fit,Shortlisted
13,90.0,2,16,725,499,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,87.1,2,10,413,218,Shortlisted,99.0,3.0,High Fit,Shortlisted
0,34.5,0,7,408,80,Rejected,0.0,201.0,,Rejected
2,44.2,2,7,276,237,Rejected,6.5,188.0,Low Fit,Rejected
9,71.9,0,15,607,379,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,100.0,0,13,322,491,Shortlisted,100.0,1.0,High Fit,Shortlisted
7,100.0,2,14,472,458,Shortlisted,100.0,1.0,High Fit,Shortlisted
14,72.2,0,17,693,559,Shortlisted,100.0,1.0,High Fit,Shortlisted
10,73.8,1,11,526,294,Shortlisted,99.5,2.0,High Fit,Shortlisted
5,65.3,1,8,405,216,Rejected,8.5,184.0,Low Fit,Rejected
15,100.0,2,18,783,549,Shortlisted,100.0,1.0,High Fit,Shortlisted
15,100.0,0,18,871,584,Shortlisted,100.0,1.0,High Fit,Shortlisted
7,58.5,2,10,435,306,Shortlisted,97.0,7.0,High Fit,Shortlisted
8,74.5,0,13,596,449,Shortlisted,99.0,3.0,High Fit,Shortlisted
3,33.4,0,5,417,206,Rejected,0.5,200.0,Low Fit,Rejected
0,69.7,0,2,459,23,Rejected,1.0,199.0,Low Fit,Rejected
13,82.2,2,22,756,723,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,39.4,0,5,376,32,Rejected,0.0,201.0,,Rejected
9,88.0,3,24,375,630,Shortlisted,99.5,2.0,High Fit,Shortlisted
3,65.5,3,14,474,267,Shortlisted,76.0,49.0,Medium Fit,Shortlisted
11,100.0,2,18,635,626,Shortlisted,100.0,1.0,High Fit,Shortlisted
13,77.6,3,16,615,492,Shortlisted,100.0,1.0,High Fit,Shortlisted
6,100.0,0,6,577,295,Shortlisted,98.5,4.0,High Fit,Shortlisted
1,72.3,0,5,150,173,Rejected,2.5,196.0,Low Fit,Rejected
2,84.6,2,9,443,210,Shortlisted,86.0,29.0,High Fit,Shortlisted
0,45.8,2,8,463,218,Rejected,8.0,185.0,Low Fit,Rejected
4,96.1,2,9,471,280,Shortlisted,99.5,2.0,High Fit,Shortlisted
0,43.1,2,6,311,31,Rejected,1.0,199.0,Low Fit,Rejected
7,75.9,3,15,648,366,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,77.1,0,7,548,85,Rejected,25.0,151.0,Low Fit,Rejected
10,88.9,2,7,492,188,Shortlisted,99.0,3.0,High Fit,Shortlisted
0,42.7,2,2,343,34,Rejected,0.0,201.0,,Rejected
1,80.3,2,4,477,168,Rejected,2.5,196.0,Low Fit,Rejected
1,64.6,0,1,223,0,Rejected,0.5,200.0,Low Fit,Rejected
11,77.0,2,17,876,517,Shortlisted,100.0,1.0,High Fit,Shortlisted
5,51.9,3,10,404,248,Shortlisted,90.0,21.0,High Fit,Shortlisted
6,76.0,0,13,616,315,Shortlisted,93.0,15.0,High Fit,Shortlisted
4,66.8,2,3,334,138,Shortlisted,75.0,51.0,Medium Fit,Shortlisted
15,89.8,0,12,652,455,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,41.2,3,7,401,252,Rejected,12.5,176.0,Low Fit,Rejected
0,51.2,0,5,292,183,Rejected,0.0,201.0,,Rejected
2,68.7,0,3,341,159,Rejected,1.0,199.0,Low Fit,Rejected
13,100.0,0,17,701,550,Shortlisted,100.0,1.0,High Fit,Shortlisted
1,60.2,2,5,350,250,Rejected,6.5,188.0,Low Fit,Rejected
4,82.6,1,8,676,182,Rejected,17.0,167.0,Low Fit,Rejected
11,95.1,2,11,751,353,Shortlisted,100.0,1.0,High Fit,Shortlisted
9,86.5,3,13,703,397,Shortlisted,100.0,1.0,High Fit,Shortlisted
15,76.1,2,14,900,522,Shortlisted,100.0,1.0,High Fit,Shortlisted
5,48.4,1,11,702,284,Rejected,13.5,174.0,Low Fit,Rejected
15,100.0,3,24,768,700,Shortlisted,100.0,1.0,High Fit,Shortlisted
6,65.4,2,10,505,254,Shortlisted,98.0,5.0,High Fit,Shortlisted
3,54.3,0,7,470,181,Rejected,10.5,180.0,Low Fit,Rejected
6,62.3,1,13,545,325,Shortlisted,92.0,17.0,High Fit,Shortlisted
10,75.0,0,11,768,391,Shortlisted,100.0,1.0,High Fit,Shortlisted
7,88.8,2,12,770,310,Shortlisted,99.5,2.0,High Fit,Shortlisted
10,65.4,1,8,691,290,Shortlisted,96.5,8.0,High Fit,Shortlisted
0,69.5,0,5,270,61,Rejected,1.0,199.0,Low Fit,Rejected
14,95.8,2,15,765,570,Shortlisted,100.0,1.0,High Fit,Shortlisted
5,46.1,2,14,565,377,Shortlisted,94.0,13.0,High Fit,Shortlisted
7,79.7,2,10,483,331,Shortlisted,100.0,1.0,High Fit,Shortlisted
4,29.2,2,11,694,331,Shortlisted,88.5,24.0,High Fit,Shortlisted
3,45.6,1,3,524,69,Rejected,0.0,201.0,,Rejected
1,70.2,2,4,472,127,Rejected,2.0,197.0,Low Fit,Rejected
5,67.3,0,6,566,154,Rejected,10.5,180.0,Low Fit,Rejected
5,44.7,2,7,489,175,Rejected,7.0,187.0,Low Fit,Rejected
10,64.5,2,13,504,389,Shortlisted,100.0,1.0,High Fit,Shortlisted
14,46.4,0,13,597,522,Shortlisted,100.0,1.0,High Fit,Shortlisted
15,74.9,3,13,684,482,Shortlisted,100.0,1.0,High Fit,Shortlisted
15,96.2,0,7,745,386,Shortlisted,100.0,1.0,High Fit,Shortlisted
0,44.6,1,4,296,15,Rejected,0.0,201.0,,Rejected
8,83.5,3,17,585,425,Shortlisted,100.0,1.0,High Fit,Shortlisted
11,83.5,2,17,765,425,Shortlisted,100.0,1.0,High Fit,Shortlisted
10,81.7,2,13,781,436,Shortlisted,100.0,1.0,High Fit,Shortlisted
5,82.8,0,4,538,179,Rejected,13.0,175.0,Low Fit,Rejected
15,88.2,2,18,900,483,Shortlisted,100.0,1.0,High Fit,Shortlisted
12,90.7,1,13,679,364,Shortlisted,99.5,2.0,High Fit,Shortlisted
2,24.3,0,5,505,98,Rejected,0.0,201.0,,Rejected
3,80.2,0,6,423,54,Shortlisted,72.5,56.0,Medium Fit,Shortlisted
11,55.6,1,13,573,385,Shortlisted,98.5,4.0,High Fit,Shortlisted
10,65.2,2,15,501,442,Shortlisted,100.0,1.0,High Fit,Shortlisted
3,52.9,0,8,374,218,Rejected,11.5,178.0,Low Fit,Rejected
2,77.8,0,7,548,113,Rejected,21.0,159.0,Low Fit,Rejected
9,57.7,1,12,520,499,Shortlisted,96.0,9.0,High Fit,Shortlisted
2,55.4,2,10,545,199,Shortlisted,76.0,49.0,Medium Fit,Shortlisted
14,74.8,2,13,880,446,Shortlisted,100.0,1.0,High Fit,Shortlisted
2,65.3,0,6,449,145,Rejected,2.0,197.0,Low Fit,Rejected
